name,ring,quadrant,moved,link
Azure Spring Cloud,EXPLORE,2,up,
python 3.7,ADOPT,1,none,
python 3.8,ADOPT,1,none,
Kotlin,ENDURE,1,down,
javascript,ENDURE,1,none,
Gradle,ADOPT,3,none,
Locust,ADOPT,3,up,
jmeter,ENDURE,3,down,
Load Runner,ENDURE,3,down,
Selenium,ADOPT,3,,
RAML,ADOPT,3,up,
SWAGGER,ADOPT,3,up,
AWS (all),RETIRE,2,none,
GraalVM,EXPLORE,3,up,
spring boot 2.3,EXPLORE,3,up,
Asyncio,ADOPT,1,none,
maven,ENDURE,3,none,
Grunt,ENDURE,3,none,
Yarn,ADOPT,3,up,
npm,ADOPT,3,none,
Redis (Self-Hosted),RETIRE,4,down,
Spring Buildpack,EXPLORE,3,up,
Azure App Insights,ENDURE,2,down,
Rest Assured,ADOPT,1,none,
